,종목명,현재가,전일대비,등락률
0,오리엔탈정공,"12,000","상승 1,100",+10.09%
1,원익홀딩스,"11,290","상승 1,950",+20.88%
2,삼현,"19,330","상승 4,460",+29.99%
3,세진중공업,"23,000",하락 500,-2.13%
4,하나마이크론,"15,720","상승 1,700",+12.13%
5,네오셈,"9,180",상승 760,+9.03%
6,미래에셋증권,"21,900","상승 2,200",+11.17%
7,삼성전자,"71,300","상승 1,200",+1.71%
8,두산에너빌리티,"62,100","상승 1,200",+1.97%
9,한선엔지니어링,"8,650",상승 480,+5.88%
10,삼성중공업,"21,100",하락 150,-0.71%
11,메타바이오메드,"6,350",하락 50,-0.78%
12,엘앤씨바이오,"50,500","상승 1,550",+3.17%
13,제주반도체,"18,130",상승 420,+2.37%
14,우리기술투자,"10,260",하락 700,-6.39%
